date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:20	179224/179224	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Oct%202024%2023:05:20%20GMT	https://essential.gg/en/true	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/en/true.b3.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.b4.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.b5.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.b6.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.b7.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.b8.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.b9.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.ba.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.bb.delayed	(from https://essential.gg/en/imprint)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.bc.delayed	(from https://essential.gg/en/downloads)
